r,K,a1,h1,e1,d1,a2,h2,e2,d2
1.308080808080808,150.0,0.18787878787878792,0.1,0.5,0.3,0.09242424242424244,0.1,0.4,0.35
0.601010101010101,150.0,0.13484848484848486,0.1,0.5,0.3,0.3717171717171717,0.1,0.4,0.35
1.8636363636363635,150.0,0.05353535353535354,0.1,0.5,0.3,0.11717171717171718,0.1,0.4,0.35
2.9242424242424243,150.0,0.2090909090909091,0.1,0.5,0.3,0.22323232323232328,0.1,0.4,0.35
0.8535353535353536,150.0,0.19494949494949498,0.1,0.5,0.3,0.12070707070707072,0.1,0.4,0.35
0.5757575757575758,150.0,0.22323232323232328,0.1,0.5,0.3,0.3151515151515152,0.1,0.4,0.35
1.7121212121212122,150.0,0.35404040404040404,0.1,0.5,0.3,0.3893939393939394,0.1,0.4,0.35
2.6717171717171717,150.0,0.16313131313131313,0.1,0.5,0.3,0.07828282828282829,0.1,0.4,0.35
1.5606060606060606,150.0,0.1101010101010101,0.1,0.5,0.3,0.18787878787878792,0.1,0.4,0.35
2.8484848484848486,150.0,0.21262626262626266,0.1,0.5,0.3,0.3186868686868687,0.1,0.4,0.35
1.2575757575757576,150.0,0.2868686868686869,0.1,0.5,0.3,0.18434343434343436,0.1,0.4,0.35
1.0808080808080809,150.0,0.3964646464646465,0.1,0.5,0.3,0.38585858585858585,0.1,0.4,0.35
1.4595959595959596,150.0,0.1772727272727273,0.1,0.5,0.3,0.33282828282828286,0.1,0.4,0.35
2.0656565656565657,150.0,0.3151515151515152,0.1,0.5,0.3,0.06767676767676768,0.1,0.4,0.35
1.6616161616161615,150.0,0.11363636363636365,0.1,0.5,0.3,0.2373737373737374,0.1,0.4,0.35
1.9646464646464648,150.0,0.20202020202020204,0.1,0.5,0.3,0.36464646464646466,0.1,0.4,0.35
1.7878787878787878,150.0,0.26212121212121214,0.1,0.5,0.3,0.33636363636363636,0.1,0.4,0.35
2.3181818181818183,150.0,0.33636363636363636,0.1,0.5,0.3,0.37878787878787884,0.1,0.4,0.35
1.3333333333333335,150.0,0.30454545454545456,0.1,0.5,0.3,0.08181818181818182,0.1,0.4,0.35
1.4848484848484849,150.0,0.3434343434343435,0.1,0.5,0.3,0.20202020202020204,0.1,0.4,0.35
2.191919191919192,150.0,0.1277777777777778,0.1,0.5,0.3,0.35050505050505054,0.1,0.4,0.35
2.974747474747475,150.0,0.13131313131313133,0.1,0.5,0.3,0.13131313131313133,0.1,0.4,0.35
2.621212121212121,150.0,0.06060606060606061,0.1,0.5,0.3,0.14191919191919194,0.1,0.4,0.35
0.8787878787878788,150.0,0.08535353535353536,0.1,0.5,0.3,0.10303030303030304,0.1,0.4,0.35
0.7272727272727273,150.0,0.14545454545454545,0.1,0.5,0.3,0.2550505050505051,0.1,0.4,0.35
0.8282828282828283,150.0,0.4,0.1,0.5,0.3,0.22676767676767678,0.1,0.4,0.35
